حديد  16 مم,حديد  13 مم,حديد  10 مم,Clean_Date
5555.0,5555.0,5555.0,2016-04-01
6090.6,6090.6,6090.6,2016-05-01
5490.8,5490.8,5490.8,2016-06-01
5490.8,5490.8,5490.8,2016-07-01
6159.5,6159.5,6159.5,2016-08-01
6457.1,6457.1,6457.1,2016-09-01
7377.0,7377.0,7377.0,2016-10-01
8573.3,8573.3,8573.3,2016-11-01
9836.7,9836.7,9836.7,2016-12-01
10480.4,10480.4,10480.4,2017-01-01
9214.9,9214.9,9214.9,2017-02-01
9800.0,9800.0,9800.0,2017-03-01
9801.0,9801.0,9801.0,2017-04-01
9681.0,9681.0,9681.0,2017-05-01
10403.4,10403.4,10403.4,2017-06-01
10763.2,10763.2,10763.2,2017-07-01
11737.0,11737.0,11737.0,2017-08-01
12055.6,12055.6,12055.6,2017-09-01
12220.7,12220.7,12220.7,2017-10-01
12220.7,12220.7,12220.7,2017-11-01
12300.0,12300.0,12300.0,2017-12-01
12300.0,12300.0,12300.0,2018-01-01
12225.0,12225.0,12225.0,2018-02-01
13133.0,13133.0,13133.0,2018-03-01
12850.0,12850.0,12850.0,2018-04-01
12650.0,12650.0,12650.0,2018-05-01
12650.0,12650.0,12650.0,2018-06-01
12750.0,12750.0,12750.0,2018-07-01
12650.0,12650.0,12650.0,2018-08-01
12300.0,12300.0,12300.0,2018-09-01
12300.0,12300.0,12300.0,2018-10-01
12300.0,12300.0,12300.0,2018-11-01
12200.0,12200.0,12200.0,2018-12-01
12000.0,12000.0,12000.0,2019-01-01
12000.0,12000.0,12000.0,2019-02-01
12000.0,12000.0,12000.0,2019-03-01
12000.0,12000.0,12000.0,2019-04-01
12150.0,12150.0,12150.0,2019-05-01
12200.0,12200.0,12200.0,2019-06-01
12350.0,12350.0,12350.0,2019-07-01
12350.0,12350.0,12350.0,2019-08-01
12350.0,12350.0,12350.0,2019-09-01
11450.0,11450.0,11450.0,2019-10-01
10885.6,10885.6,10885.6,2019-11-01
10978.6,10978.6,10978.6,2019-12-01
10849.5,10849.5,10849.5,2020-01-01
10849.5,10849.5,10849.5,2020-02-01
10416.0,10416.0,10416.0,2020-03-01
10416.0,10416.0,10416.0,2020-04-01
10416.0,10416.0,10416.0,2020-05-01
10416.0,10416.0,10416.0,2020-06-01
10416.0,10416.0,10416.0,2020-07-01
10052.6,10052.6,10052.6,2020-08-01
10052.6,10052.6,10052.6,2020-09-01
10257.2,10257.2,10257.2,2020-10-01
10257.2,10257.2,10257.2,2020-11-01
11907.2,11907.2,11907.2,2020-12-01
13354.7,13354.7,13354.7,2021-01-01
13354.7,13354.7,13354.7,2021-02-01
13354.7,13354.7,13354.7,2021-03-01
13354.7,13354.7,13354.7,2021-04-01
14193.7,14193.7,14193.7,2021-05-01
14971.0,14971.0,14971.0,2021-06-01
14971.0,14971.0,14971.0,2021-07-01
14971.0,14971.0,14971.0,2021-08-01
14971.0,14971.0,14971.0,2021-09-01
14971.0,14971.0,14971.0,2021-10-01
15381.3,15381.3,15381.3,2021-11-01
15381.3,15381.3,15381.3,2021-12-01
15381.3,15381.3,15381.3,2022-01-01
15381.3,15381.3,15381.3,2022-02-01
13354.7,13354.7,13354.7,2022-03-01
20724.0,20724.0,20724.0,2022-04-01
20211.0,20211.0,20211.0,2022-05-01
20211.0,20211.0,20211.0,2022-06-01
18310.3,18310.3,18310.3,2022-07-01
18310.3,18310.3,18310.3,2022-08-01
18310.3,18310.3,18310.3,2022-09-01
18399.6,18399.6,18399.6,2022-10-01
19644.3,19644.3,19644.3,2022-11-01
24300.4,24300.4,24300.4,2022-12-01
26928.0,26928.0,26928.0,2023-01-01
28370.5,28370.5,28370.5,2023-02-01
32514.3,32514.3,32514.3,2023-03-01
38132.6,38132.6,38132.6,2023-04-01
39323.1,39323.1,39323.1,2023-05-01
37803.3,37803.3,37803.3,2023-06-01
38104.9,38104.9,38104.9,2023-07-01
34002.0,34002.0,34002.0,2023-08-01
34101.3,34101.3,34101.3,2023-09-01
34283.1,34283.1,34283.1,2023-10-01
38644.8,38644.8,38644.8,2023-11-01
40741.6,40741.6,40741.6,2023-12-01
44032.5,44032.5,44032.5,2024-01-01
52000.6,52000.6,52000.6,2024-02-01
49743.4,49743.4,49743.4,2024-03-01
43614.8,43614.8,43614.8,2024-04-01
41742.6,41742.6,41742.6,2024-05-01
41802.0,41802.0,41802.0,2024-06-01
41873.5,41873.5,41873.5,2024-07-01
42543.7,42543.7,42543.7,2024-08-01
42633.2,42633.2,42633.2,2024-09-01
40124.7,40124.7,40124.7,2024-10-01
39351.9,39351.9,39351.9,2024-11-01
39351.7,39351.7,39351.7,2024-12-01
39352.8,39352.8,39352.8,2025-01-01
39352.9,39352.9,39352.9,2025-02-01
39353.0,39353.0,39353.0,2025-03-01
39353.0,39353.0,39353.0,2025-04-01
39353.0,39353.0,39353.0,2025-05-01
39352.8,39352.8,39352.8,2025-06-01
39352.7,39352.7,39352.7,2025-07-01
39352.9,39352.9,39352.9,2025-08-01
39354.0,39354.0,39354.0,2025-09-01
39354.0,39354.0,39354.0,2025-10-01
39353.4,39353.4,39353.4,2025-11-01
39353.6,39353.6,39353.6,2025-12-01
39353.6,39353.6,39353.6,2026-01-01
39353.8,39353.8,39353.8,2026-02-01
